user,has_ht,followers,friends
3386410744,0,1158,319
16062910,1,1,36
32369839,0,732,165
3920924531,0,596,838
71055839,0,4471,346
3033291887,1,6288,6427
372512399,0,2759,2454
726101967802646529,0,212,891
843303465870938112,1,1543,1875
399553852,0,22,80
2203613313,0,367,374
331092529,0,4693,2891
3306203500,0,4551,3261
2589805129,0,43,97
612214031,0,884,474
567869077,0,360963,275546
215216857,0,1054,837
2386288615,1,22,661
3207650531,1,164,197
2923282145,0,169,853
2587636256,0,1085,70
194277586,1,154,479
1003404140,0,56,43
1256605573,0,526,631
1702888297,1,86,252
354248645,0,59354,63484
830722018907738117,1,1059,2217
284426825,0,230886,208237
4052048534,0,1,8
880454917,0,386,1257
3184376085,0,638,2125
3301584895,0,4353,3604
57072279,0,1088,2698
184717999,1,3596,409
788946033929809920,0,396,367
80597407,0,328,491
2173848210,0,4282,2333
964643228,0,297,308
302653051,0,1152,1091
808714074393604096,1,43,189
3224690448,0,82,157
730794368995459073,0,55,64
3288558664,0,6062,4021
245008100,0,195,282
23769005,0,320,140
13737782,1,679,449
147417008,0,601,579
18088364,0,284,931
731211869164163076,0,77,224
586313,0,13109,1131
25643468,0,183,303
42293355,0,196,392
2289102758,0,23354,28
4176243861,0,112,210
776592044470829057,1,8,102
702616795291762688,1,247,162
1227326366,1,2778,3591
461762277,0,1244,1107
26528757,0,5192,498
145682886,1,11061,1422
2453890014,0,305,275
751034069824176128,1,5661,5778
21097079,0,14106,2971
33037786,1,880,1810
336227141,1,15102,367
269810224,0,15,111
1390872433,0,729,941
807663311890173952,0,19,38
734788074253783040,0,300,964
78408027,0,432,1093
2478194272,0,59,181
4696188319,0,3269,2751
3359481,0,75843,2002
3088620118,0,4611,1779
792225466300133376,0,238,344
147702758,0,1545,922
846972844529602564,1,0,0
4708985232,0,96,132
383726406,0,1527,62
415114842,0,158,591
117443764,0,5949,578
812209998168293376,1,33,122
2712601086,0,67,52
3295980127,0,841,1176
2328770690,1,34,32
3498448812,0,93520,5333
702527196397596672,0,211,100
734730084444217349,0,2935,3085
632183705,0,116,217
841392989515722752,1,3,10
719288036,0,77,399
2733980891,0,155,118
2860335374,0,1285,1257
16286201,0,2732,1844
2850922313,0,1190,2268
783842652470939648,0,188,496
523992925,0,699,86
114172267,0,358,518
29367156,0,721,641
738284898876694528,1,67,138
712772601609863168,0,150,121
843060994821836804,0,16,79
710857366661668864,0,585,291
201914988,0,104,135
777341892132425728,1,7,87
4420148892,0,2028,2292
506416336,0,2538,2103
4853820874,1,1129,1427
2807882664,0,1544,542
3123932735,0,1044,380
2978191714,0,13762,1378
596733398,0,1398,950
122400812,0,206,256
11270742,1,17282,7968
41080513,0,97,93
776184307937320960,0,1330,421
823346614609657856,0,38,40
704639394679013377,1,65,847
4164430512,1,24,92
734557112,1,460,515
3359496193,1,57,419
798916201766387712,0,30,94
1572173521,0,578,181
782846898,0,618,299
1580164687,1,221,97
1533870210,0,147670,74342
2886248514,0,116,107
1427199624,0,96,316
429137863,0,2444,1708
1067008922,0,615,206
818378724949323777,0,5061,6613
1293425383,1,962,1841
722720399096721408,0,10191,9814
538481859,0,23913,23543
386676997,0,985,569
822997127378989057,0,174,405
3377562755,0,124,56
755609067934986240,0,7375,8211
199122379,0,87,135
57888721,0,924,514
344801331,1,312,852
3194493748,0,627,333
816534665049804803,1,5,51
1281278520,0,53,122
245505742,1,4348,4576
136655165,1,2267,1951
392836991,1,42911,5727
846496248588910592,0,45,108
827007916582588420,0,107,14
450735506,1,724,185
60316846,0,174,618
224198650,0,1143,96
801951704375848960,0,907,800
33116094,1,226,175
3120400102,0,82,204
2229405296,0,12,31
21334300,0,1867,812
2315922081,0,274,553
813886879695302657,0,1066,910
822045258490007553,0,69,76
817423508422742016,0,7734,9692
54411909,0,198,140
712037283,0,12402,10485
773682116,0,581,1996
830912447435374596,0,77,84
121861533,0,559,481
801224294214733825,0,3727,4323
811794383955628032,0,4378,5084
2214951465,0,1795,909
2234393546,0,333,282
2925020074,0,39817,26512
811596606298431488,0,4442,4539
146887309,0,690,193
775863016869007364,0,6,93
8559592,0,8990,527
844901495820730368,0,39,12
188980840,0,58,163
1209295406,1,374,682
35929206,0,935,1531
3277409761,0,54959,30019
369869746,0,588,694
2947431863,0,1519,877
1120256364,0,356,1159
773646186775453698,0,10,21
381601825,0,489,890
714884543996641281,0,706,4482
21298137,1,2111,591
2731002487,0,64,129
806672166712315904,0,2558,4734
4107269775,1,634,519
797636071064379392,0,525,871
777878380247076865,1,7,73
15476665,0,56798,33289
42618019,1,36,795
98119075,1,1503,2025
